CUSTOMER_ID,FIRST_NAME,LAST_NAME,REGION,CITY
17183,tp,f,AFRICA      ,ALGERIA  8
15976,K21y,K21yWMZR,AFRICA      ,KENYA    4
18399,4Z7x,4Z7xRA,AFRICA      ,ALGERIA  0
14300,ZU,2,AFRICA      ,KENYA    3
18890,X5,4,AFRICA      ,ETHIOPIA 0
10317,Y,4S,AFRICA      ,ETHIOPIA 6
3120,ZWFd,ZWFdf,AFRICA      ,MOZAMBIQU7
10647,T,61,AFRICA      ,ALGERIA  0
17453,o,6g,AFRICA      ,ETHIOPIA 3
19427,TW,7,AFRICA      ,ETHIOPIA 2
9383,oX7T,oX7Tb,AFRICA      ,ALGERIA  7
13937,n,7S,AFRICA      ,ETHIOPIA 8
17306,Xs,9,AFRICA      ,ALGERIA  4
19409,DHS,DHS5r4,AFRICA      ,ALGERIA  0
14456,g,5b,AFRICA      ,ETHIOPIA 7
14282,3,Mg,AFRICA      ,MOROCCO  9
14730,h,6U,AFRICA      ,ETHIOPIA 1
16252,kQ,8,AFRICA      ,MOROCCO  6
10685,c,1I,AFRICA      ,ETHIOPIA 6
9907,BoY,BoY,AFRICA      ,KENYA    6
817,Inhy,Inhy,AFRICA      ,ALGERIA  7
5373,3o,1,AFRICA      ,MOZAMBIQU2
17826,5R,5,AFRICA      ,MOROCCO  6
17446,qbx,qbx,AFRICA      ,KENYA    5
10636,1,7f,AFRICA      ,ALGERIA  6
933,6,8b,AFRICA      ,KENYA    5
13835,3IJB,3IJBOHoUN,AFRICA      ,KENYA    7
16785,e8XB,e8XBSW9mTiHb82bsBQNrp,AFRICA      ,MOROCCO  1
950,FIXC,FIXCUPBWTEDSeIAKRNr9,AFRICA      ,MOROCCO  5
19047,IuhG,IuhGLivnWOwqplGqy,AFRICA      ,KENYA    6
16580,xfm8,xfm8nSl79h,AFRICA      ,ETHIOPIA 6
10613,L0xr,L0xraEicV,AFRICA      ,KENYA    7
359,tWF6,tWF6jSzzOXhYv,AFRICA      ,KENYA    5
4991,Xsd,OmVG8Fa1F3f,AFRICA      ,MOROCCO  2
6278,mrGexANqJl7,oYgnICHE,AFRICA      ,ETHIOPIA 9
9946,Spti,SpticJjNC3Mvqc5w7c2,AFRICA      ,ETHIOPIA 7
6870,JXkJ,JXkJdvOn,AFRICA      ,MOZAMBIQU8
19832,ACjS,ACjSmtk,AFRICA      ,ETHIOPIA 1
7111,JWz,JWz,AFRICA      ,MOROCCO  6
19690,HZgb,HZgbjt,AFRICA      ,MOROCCO  7
9448,KwDy,KwDy,AFRICA      ,KENYA    4
1512,slJv,slJv7sW,AFRICA      ,MOZAMBIQU0
19243,DQq9,DQq9acLTBK,AFRICA      ,KENYA    3
5861,EZx4BpicSKr5OW6,6n,AFRICA      ,ETHIOPIA 2
1766,EWxx,EWxxFyBTlb,AFRICA      ,MOROCCO  5
6995,KZiz,KZiz,AFRICA      ,MOZAMBIQU9
4080,sgee,sgeec82,AFRICA      ,MOROCCO  0
1754,w3zq,w3zqq,AFRICA      ,ALGERIA  1
1854,p2ns,p2nsaYbSAtc0C,AFRICA      ,KENYA    3
15401,N2gB,N2gB5gCc,AFRICA      ,ETHIOPIA 0
16140,P9Pf,P9PfKWq09y,AFRICA      ,MOZAMBIQU3
15259,ICKN,ICKNCnKBSZ,AFRICA      ,ALGERIA  3
4903,rM39,rM39ZXDEYXDx,AFRICA      ,ALGERIA  5
1861,nr3m,nr3m6226u9EJ,AFRICA      ,MOROCCO  0
12079,Pnc,Pnc,AFRICA      ,KENYA    6
4407,606P,606PbU,AFRICA      ,MOROCCO  4
13386,1f,u8k,AFRICA      ,MOZAMBIQU6
7115,g1I3r,bBzEcLC,AFRICA      ,ETHIOPIA 8
9593,SdIt,SdItG,AFRICA      ,MOROCCO  5
2980,2O4cAPxT,5jJUlbRmIE,AFRICA      ,KENYA    4
11285,1IKL,1IKLJz1o,AFRICA      ,MOROCCO  7
7851,ou8Q,ou8Qizqz4,AFRICA      ,ETHIOPIA 7
